Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Hiking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-05-12,1677.416534784533,199.7540624141693,,,,,0.690217097794397,1.7947405576705933,0.41138413548469543,684,,,,8,,79249483,401908,,,,,,
2019-05-13,1834.5088947433344,1604.9464525282383,,,,,2.066289604751971,35.02225875854492,0.20844976603984833,3408,,,,47,,76587796,2824758,,,,,,
2019-05-14,1811.1030257076666,1451.2374810427427,-33.9777323,18.4650457,-33.9773937,18.4657691,1.5219985672836382,33.053062438964844,0.293822705745697,3059,,,,42,,77772459,2475038,,,,,,
2019-05-15,1808.8153753029853,1859.2617355883121,-33.9777112,18.4652004,-33.9773541,18.4657655,1.5732709367793247,32.1318244934082,0.193807914853096,3477,,,,45,,78281699,2239803,,,,,,
2019-05-16,1837.0825591478704,1638.865649163723,-33.9785141,18.4652556,-33.9566187,18.4723353,0.6725320152971777,20.4490966796875,0.12746194005012512,3438,,,,46,,75596113,2877913,,,,,,
2019-05-17,2005.7786160067176,3810.287689985004,-33.9805458,18.4633622,-33.977376,18.4657845,1.292378497412431,34.15556716918945,0.12515941262245178,7506,,,,78,,74993549,3857797,722867,,,,,
2019-05-18,1990.8524856760052,4232.374533175263,-33.92768705270304,18.4420945,-33.863461,18.6843118,2.3866575839908313,39.56757354736328,0.014285714365541935,3448,,,,1,,55031857,1021198,1860000,,,11040000,5940000,
2019-05-19,1767.8727180204392,597.9847507476807,-33.8636618,18.6841709,-33.8634823,18.6842872,0.6030475464993895,1.242119312286377,0.3473888337612152,1917,,,,21,,79843684,1804647,,,,,,
2019-05-20,1826.740587539652,2138.696957230568,-33.9805839,18.4632895,-33.9773957,18.4657744,1.8414262891594593,32.78998565673828,0.28310367465019226,3545,,,,42,,77283692,2716105,,,,,,
2019-05-21,1668.896587062467,287.4059920310974,,,,,1.849189127006657,3.525657892227173,0.8055264949798584,810,,,,8,,84126972,269787,,,,,,
2019-05-22,1718.2244931293578,610.770697593689,,,,,0.8560337384226246,1.635441780090332,0.4067579209804535,1433,,,,15,,75789045,1034734,,,,,,
2019-05-23,1943.369355080338,3331.561925292015,-33.9805358,18.4630791,-33.9773317,18.4659612,1.0986896795676264,22.969619750976562,0.09319692105054855,6364,,,,83,,73957744,4525651,,,,,,
2019-05-24,1842.5426435811328,1555.3212340474129,,,,,1.7419745162438276,27.135971069335938,0.2591494917869568,3043,,,,32,,72944837,2949540,,,,,,
2019-05-25,1659.4745950195397,43.36042112112045,,,,,2.266047200666014,4.190000057220459,0.01447619590908289,429,,,,4,,62533403,123676,,,,,,
2019-05-26,1652.7380991734965,9.065017223358154,,,,,,,,482,,,,3,,84539530,19211,,,,,,
2019-05-27,1778.442591134207,1140.9296191334724,,,,,0.7692478419023906,1.3808706998825073,0.30711519718170166,2576,,,,36,,79911145,1968410,,,,,,
2019-05-28,1683.170361556244,179.12510919570923,,,,,2.2892296336561158,23.983154296875,0.3189540505409241,656,,,,6,,79883437,491136,,,,,,
2019-05-29,1783.1343540174166,1176.6790054738522,-33.9785007,18.4651255,-33.9773933,18.4657776,2.0473912821610245,32.91669845581055,0.18180884420871735,2636,,,,35,,79196069,2041317,,,,,,
2019-05-30,1785.4623197689336,1038.2972366809845,,,,,0.7849832555696448,1.4584232568740845,0.28058382868766785,2378,,,,30,,75366156,2077418,,,,,,
2019-05-31,1860.692671704072,2751.4418558329344,-33.9807598,18.4621839,-33.97737,18.4657627,0.9880056567458496,2.111097812652588,0.0835244208574295,4834,,,,54,,76116231,3243001,,,,,,
2019-06-01,1772.038944590003,1472.143843486905,-33.8529326,18.6967816,-33.8507057,18.6974661,6.901301718539852,33.737388610839844,0.27157437801361084,3364,,,,26,,71633406,1869256,,,,,,
2019-06-02,1704.903001010314,300.46005868911743,,,,,1.5726324111892724,27.182405471801758,0.19962909817695618,1022,,,,10,,76833588,828152,,,,,,
2019-06-03,1764.840353827841,956.9633378088474,,,,,0.5577909677636571,1.281101107597351,0.2251039296388626,2090,,,,28,,80908747,1757624,,,,,,
2019-06-04,1731.5144009410362,859.8874626741176,-33.8528718,18.6956539,-33.8514268,18.6976502,0.7637520559391695,1.9133142232894897,0.2669873535633087,2174,,,,24,,77699075,1240826,,,,1920000,3900000,
